Speaker,Transcription,Transactivity,Regulation,dialog_id,Transactivity 
H,Alright!,QC,,SE1 11.10,
G,Who can create google docs?,ELI,P,SE1 11.10,
H,"I can create, I'm trying to explore it they can link it from Teams beacause there's is a cloud storage so I can add a folder.",QC,P,SE1 11.10,
G,Mhm,QC,P,SE1 11.10,
H,Let me just try it out. Have you discussed about the topic yet?,ELI,P,SE1 11.10,
G,No,CON,,SE1 11.10,
K,No,CON,,SE1 11.10,
G,We just…waited for you,EXT,,SE1 11.10,
H,Ohh sorry! (laughing) Okay.,QC,,SE1 11.10,
G,And trying to figure out the problems in Teams…um…,EXT,,SE1 11.10,
H,So we want to start talking about that first then we'll sort out the google document later?,ELI,F,SE1 11.10,
K,Sounds great.,QC,F,SE1 11.10,
A,Yeah.,QC,,SE1 11.10,
H,"Okay, so I think we had a couple of ideas, right?",INT,P,SE1 11.10,
G,Yes. I can start for example.,QC,P,SE1 11.10,
H,Okay sure!,QC,P,SE1 11.10,
G,And share my screen. I have already put in our channel two documents. Sorry they are with my remarks,EXT,P,SE1 11.10,
K,(smiling) No worries.,EXT,,SE1 11.10,
G,And this is general foundation of emotion regulation. I think we can start just reading this because it's very comprehensive overview of,EXT,F,SE1 11.10,
H,Emotion,EXT,,SE1 11.10,
G,"Yes about emotion, and emotion... Briefly, it's a part of our affect. And emotion, uh, this after created a model...a model that they have some situation, attention, appraisal and response regarding emotion. And we have five processes where we can regulate our emotions, situation selection, situation modification, attention deployment, cognitive change and modulation.",EXT,,SE1 11.10,
K,"Yeah, this was also a part of the readings and the videos.",INT,R,SE1 11.10,
G,Yes yes yes! Lecturer I think she took this information and incorporated in their article.,QC,,SE1 11.10,
K,Yeah,QC,,SE1 11.10,
G,"Yeah, but this is foundation, I think.",CON,,SE1 11.10,
K,Mhm.,QC,,SE1 11.10,
H,The theoretical framework?,ELI,,SE1 11.10,
G,"Yes, theoretical framework. Um, and just about emotion
regulation and my second article. I start to thought about some tools, computer tool that can recognize and recognize yes face, facial emotion.",EXT,,SE1 11.10,
H,Ok.,QC,,SE1 11.10,
K,Mmm.,QC,,SE1 11.10,
G,And maybe we can start thinking this…,ELI,F,SE1 11.10,
H,Mmm (overlaps)…,QC,,SE1 11.10,
G,(continues) … direction ,ELI,,SE1 11.10,
H,"So they used, am, this technology to help, am, like recognize emotions and how does it link to the regulation?",ELI,,SE1 11.10,
G,"No, for example, if we now talk with each other with open camera, maybe some problem af, some program can, I don't know, make sound like deep…",CON,,SE1 11.10,
H,It must know your signal that you are angry or something. (smiles),EXT,,SE1 11.10,
G,"Yes, yes you're happy now or not, your friend…",QC,,SE1 11.10,
H,"(Overlaps) Haha, I am happy ",QC,,SE1 11.10,
G,"Some, I do not know…",EXT,,SE1 11.10,
H,"Ok,",QC,,SE1 11.10,
G,Kind of…signals,EXT,,SE1 11.10,
H,"Ok, ok, so you provide the feedback about how the other people are, could be feeling. ",ELI,,SE1 11.10,
G,"Yes, maybe it's a good for teachers as well.",QC,,SE1 11.10,
H,Ok.,QC,,SE1 11.10,
G,"For example, if during some lesson teachers can see some dashboards, or learning analytics graphic, which, for example, all classes are boring or not, only interest something like that.",EXT,,SE1 11.10,
K,"Yeah, yeah.",QC,,SE1 11.10,
A,"I guess, like, Teams already kind of has the beginning of that, because, like, now in a class you can, like, click on the little emoji thing, or like yeah, even here in zoom, like, I can do a reaction like.",INT,,SE1 11.10,
G,"Yes, but it's your, how to say, it's your choice.",CON,,SE1 11.10,
A,"Yeah, yeah, exactly. (overlaps)",QC,,SE1 11.10,
G,"You can understand, but here, as I understand, the program can read your face.",CON,,SE1 11.10,
A,Mmm.,QC,,SE1 11.10,
K,Ok.,QC,,SE1 11.10,
H,"Yeah, I think that program can detect if this person is really happy, unhappy, sad, suprised.",QC,,SE1 11.10,
G,Mhm,QC,,SE1 11.10,
H,OK.,QC,,SE1 11.10,
K,It sounds quite new. Or is it? From which date is it? Which year is this study conducted?,ELI,,SE1 11.10,
G,"Am, fo- four hours, four years ago. ",EXT,,SE1 11.10,
K,"Oh, alright.",QC,,SE1 11.10,
G,"2017, as I see.",EXT,,SE1 11.10,
A,Mm.,QC,,SE1 11.10,
K,Mhm.,QC,,SE1 11.10,
H,Ok.,QC,,SE1 11.10,
G,How can I zoom?,ELI,,SE1 11.10,
K,"And with these, am, technology you could like, am, draw some patterns, for example? So, I mean everybody has a role in, in, in a group and then maybe the one who is the leader of the group maybe, has some specific emotion, I don't know. This could be quite interesting. If you follow this.",EXT,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
K,Do you know what I mean?,ELI,,SE1 11.10,
A,Khm. (coughs),QC,,SE1 11.10,
G,"Yes, I…",QC,,SE1 11.10,
H,Profiling different people’s emotions and their roles.,EXT,,SE1 11.10,
K,"And the roles, connected to their roles, yeah.",INT,,SE1 11.10,
H,"Mhm, ok.",QC,,SE1 11.10,
G,"So, stop sharing, this is my small preparation, ah (exhale).",EXT,P,SE1 11.10,
H,Maybe that's something we can work from.,ELI,P,SE1 11.10,
K,"Definitely, yeah. ",QC,P,SE1 11.10,
A,"I also liked the suggestion for, am, just the intercultural setting. I didn't really… I kind of just browsed, am, for some papers but, or articles, but I took a class last semester. It was kind of just one of these small seminar things about intercultural learning and I think there's definitely, aaa, it offers a wide variety. Am, but for example, like, am, there was one article I saw, that was about technology enhanced intercultural learning. But I I again I haven't really read through it, but I can maybe put it in the teams.",EXT,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
A,"Am, but I, I, I liked that topic a bit more, but again, I'm pretty open, hmhm (smiles). ",CON,,SE1 11.10,
H,"Oh, what is the title of the paper again?",ELI,,SE1 11.10,
A,"This one is Culture and the development of conflict resolution style by Spencer Kagan, here, I’ll... (looks like putting the article in teams)",EXT,,SE1 11.10,
H,"So this is about conflict reg-, conflict resolution?",ELI,,SE1 11.10,
A,Yeah.,QC,,SE1 11.10,
H,"In the, in, in the cultural context or just general?",ELI,,SE1 11.10,
A,"Am, In the cultural context, I believe, I'll, I'll upload this part.",QC,F,SE1 11.10,
H,"Okay, interesting. ",QC,F,SE1 11.10,
A,Khm (Coughs). One second.,EXT,,SE1 11.10,
K,"Sounds also interesting. Hmhm (smiles, everybody smiles pleasantly). Am, I also had a look on some papers and I came across a paper which title is The comparison between good and poor collaborators… (overlaps) ",EXT,P,SE1 11.10,
H,"Ah, ok. ",QC,P,SE1 11.10,
G,(Continues) and how they are different with their emotional regulation.,EXT,,SE1 11.10,
H,Aaa.,QC,,SE1 11.10,
K,"Am, that's what I found quite interesting, but I'm open for every topic. Hmhm (everybody smiles pleasantly).",EXT,F,SE1 11.10,
H,"(Smiles) Yeah, I think I came across the top-, that that topic too, but I  didn't go in and read up on that… Aaa, yeah, so initially I… (Interrupts to check with P2) You're finished sharing your thoughts, hm?",ELI,,SE1 11.10,
K,"Yeah, it was just a quick note. (smiles as well)",QC,,SE1 11.10,
H,"Yeah, like I,I, I was looking at intercultural but I think I was trying to find intercultural and then CSCL and, aaa, emotional regulation. And I found that like it was a bit hard to find like articles particularly, like, on this 3 aspects. But maybe, if it's just intercultural and conflict resolution, maybe there are.",EXT,,SE1 11.10,
A,Mhm.,QC,,SE1 11.10,
H,"Yeah, so yeah, that was what I realized about the intercultural. I think it was a bit hard. I forgot to ask Essi just now about the article that they published on intercultural. But maybe I can ask her later.",EXT,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
H,"Am, what I found, one that was interesting, was like, they had a few, there was involving scripting, so it was the use of scripting tools to facilitate emotional regulation.",EXT,,SE1 11.10,
K,Mhm.,QC,,SE1 11.10,
H,So they got… Maybe I can show you what the article… (overlaps),EXT,P,SE1 11.10,
G,Mhm.,QC,P,SE1 11.10,
H,"(Continues) So, they had a program that got students to, like,  they have to write something like a mini reflection. Let me share. Ok. The host has disabled screen sharing. (externalizing) I think you have to share the host with me or something.",EXT,P,SE1 11.10,
G,"Sorry, Sorry, yes, just a moment. Now you, co-host.",EXT,P,SE1 11.10,
H,"Ok, so yeah. So they had like, a system where like, students would fill in, like… Can I make it bigger (to herself)?",EXT,P,SE1 11.10,
G,Mhm.,QC,P,SE1 11.10,
H,"(inaudible) bigger. Yeah, so they all feel like, when I think about something like, working with my group, I am like, they have to feel their feelings like, and why and then like, how, how can they, like what better, what he they should do. (showing on a tool they need to feel out). So with this kind of (inaudible) they were analyzing how this is, this might help with their emotional regulation in the group. But it's I think it's more than just emotional regulation, it also involves the metacognition aspect. I thought this was quite interesting, they helped them…. Like, the script there helped to structure their thoughts and their emotions. Yeah (overlaps)… ",EXT,P,SE1 11.10,
G,"Yeah, but this is, this is not about culture, yes? Yeah, this is just… (overlaps)",ELI,,SE1 11.10,
H,"Yeah, yeah, this is not cultural, yeah, this is just, how scripting can help to facilitate emotional regulation.  
But this is one. Yeah, then the intercultural like communication is also another aspect, we can look at. Or we can also look at…what was this?",QC,,SE1 11.10,
G,"And this is, as I see, it's also it's computer supported, yes?",ELI,,SE1 11.10,
H,Yes.,QC,,SE1 11.10,
G,Technology…?,ELI,,SE1 11.10,
H,"Yes, yes, this is so, yes, this involves a, this is a cross towards scripting.",QC,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
H,It's a combination of how scripting can be used.,EXT,,SE1 11.10,
A,Mhm.,QC,,SE1 11.10,
H,"Yeah, to enhance regulation in, weather is it cognitive regulation or emotional regulation. I thought the system was quite interesting.",EXT,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
H,"They had to analyze, like, write down their reflections. And then this, this, there were prompts to reflect on the collaboration.",EXT,,SE1 11.10,
G,Mhm.,QC,,SE1 11.10,
